Reporting Period,Project Number,Legacy Project Number,City
6/30/21,9739,4968-87455-GJ,Baldwin
6/30/21,44385,4944-92165,Bay Shore
6/30/21,175610,,Middletown
6/30/21,159834,,Bronx
6/30/21,80431,,Valley Stream
6/30/21,303847,,Queens
6/30/21,40432,4704-80160,Port Jefferson
6/30/21,280932,,Wantagh
6/30/21,306357,,Rosedale
6/30/21,71355,,Farmingdale
6/30/21,264699,,Brooklyn
6/30/21,250058,,Oceanside
6/30/21,171567,,Seaford
6/30/21,276265,,Jamaica
6/30/21,205911,,Bronx
6/30/21,34900,4704-64277,Levittown
6/30/21,312343,,Queens Village
6/30/21,249348,,Sound Beach
6/30/21,287120,,Queens
6/30/21,40910,4704-81412,Centereach
6/30/21,36284,4704-68146,Center Moriches
6/30/21,35796,5098-66759,Elmont
6/30/21,93808,,Staten Island
6/30/21,44593,4704-92462,Saratoga Springs
6/30/21,217000,,Sayville
6/30/21,204411,,Oceanside
6/30/21,224954,,Brooklyn
6/30/21,104163,,Carmel
6/30/21,155124,,Staten Island
6/30/21,152363,,Island Park
6/30/21,210553,,Brooklyn
6/30/21,69141,,Jamaica
6/30/21,247732,,West Babylon
6/30/21,242085,,Peekskill
6/30/21,176886,,Far Rockaway
6/30/21,238025,,Islip
6/30/21,275780,,Staten Island
6/30/21,181255,,bellmore
6/30/21,280407,,Buffalo
6/30/21,9281,5159-84212,Nesconset
6/30/21,51283,4355-0053-Financing,Sayville
6/30/21,65843,4629-0365-Financing,Levittown
6/30/21,118396,,Massapequa
6/30/21,264716,,Jamaica
6/30/21,253469,,Brooklyn
6/30/21,60599,4704-83694,Albany
6/30/21,170330,,Mineola
6/30/21,220005,,White Plains
6/30/21,53759,4376-63957-GJ,Franklin Square
6/30/21,239386,,Brooklyn
6/30/21,44722,4704-92957,Brentwood
6/30/21,62282,4704-90921,West Islip
6/30/21,242846,,Staten Island
6/30/21,208752,,Binghamton
6/30/21,9076,4704-81217,Southampton
6/30/21,66068,5194-000,Shirley
6/30/21,38322,4704-73186,Coxsackie
6/30/21,144716,,QUEENS VILLAGE
6/30/21,224980,,New Hyde Park
6/30/21,215716,,Croton on Hudson
6/30/21,61939,4704-89731,Baldwin
6/30/21,179280,,East Islip
6/30/21,40748,5098-81306,Franklin Square
6/30/21,256624,,Rosedale
6/30/21,41243,4704-82300,Huntington Station
6/30/21,175313,,Franlin Square
6/30/21,261011,,Brooklyn
6/30/21,7905,4704-67402,Bellport
6/30/21,78085,,Pine Bush
6/30/21,59901,4944-84387,Wantagh
6/30/21,250103,,Lawrence
6/30/21,306986,,Plainview
6/30/21,81552,,Massapequa Park
6/30/21,212569,,Ithaca
6/30/21,41201,4704-73145,Melville
6/30/21,35817,5140-66782,Hicksville
6/30/21,253899,,Jamaica
6/30/21,293769,,Brooklyn
6/30/21,302551,,Queens
6/30/21,178485,,Queens Village
6/30/21,56561,5098-70803,Water Mill
6/30/21,160184,,Queens
6/30/21,303774,,Springfield Gardens
6/30/21,308879,,Queens Village
6/30/21,73591,,Maybrook
6/30/21,294,01001-00035,Albany
6/30/21,228811,,Linderhurst
